Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime
[-0.5708124, 0.       ]; False; -141.0; 141; None; None; 1; 0.17307829856872559; None; 1763881148.2129633
[-0.5365069, 0.       ]; True; -200.0; 200; None; None; 1; 0.25592041015625; None; 1763881148.4688838
[-0.5428805, 0.       ]; True; -200.0; 200; None; None; 1; 0.26567697525024414; None; 1763881148.739928
[-0.49979928, 0.        ]; True; -200.0; 200; None; None; 1; 0.21202945709228516; None; 1763881148.9529674
[-0.5500911, 0.       ]; False; -194.0; 194; 2253.528752615271; None; 4; 0.2420635223388672; None; 1763881149.195031
[-0.51604563, 0.        ]; True; -200.0; 200; None; None; 1; 0.2535088062286377; None; 1763881149.4496417
[-0.5759283, 0.       ]; False; -135.0; 135; None; None; 1; 0.17460250854492188; None; 1763881149.6242442
[-0.4718751, 0.       ]; False; -100.0; 100; 761.6140908368704; None; 1; 0.11356282234191895; None; 1763881149.742
[-0.54922134, 0.        ]; False; -195.0; 195; None; None; 2; 0.2522096633911133; None; 1763881149.9947014
[-0.59664273, 0.        ]; False; -107.0; 107; None; None; 2; 0.11553645133972168; None; 1763881150.114629
[-0.55806565, 0.        ]; False; -196.0; 196; 327.5072910769711; None; 3; 0.2215416431427002; None; 1763881150.3361707
[-0.40251705, 0.        ]; False; -83.0; 83; None; None; 1; 0.08813977241516113; None; 1763881150.4285452
[-0.48819062, 0.        ]; False; -161.0; 161; None; None; 4; 0.18536901473999023; None; 1763881150.6148102
[-0.5436498, 0.       ]; True; -200.0; 200; None; None; 2; 0.24463510513305664; None; 1763881150.8611903
