Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime; CrashTime
[-0.5674719, 0.       ]; False; -144.0; 144; None; None; 2; 0.05676007270812988; None; 1768443545.7320724; None
[-0.5488082, 0.       ]; False; -195.0; 195; 2493.8865821682098; None; 1; 0.072540283203125; None; 1768443545.7898333; None
[-0.42863956, 0.        ]; False; -86.0; 86; None; None; 1; 0.03426527976989746; None; 1768443545.8623736; None
[-0.47196677, 0.        ]; False; -101.0; 101; None; None; 1; 0.0324099063873291; None; 1768443545.9013128; None
[-0.5355875, 0.       ]; True; -200.0; 200; None; None; 2; 0.06804299354553223; None; 1768443545.934719; 239.52592611312866
[-0.45632395, 0.        ]; False; -93.0; 93; None; None; 2; 0.03200960159301758; None; 1768443546.0038047; None
[-0.4097068, 0.       ]; False; -84.0; 84; None; None; 1; 0.02599310874938965; None; 1768443546.037813; None
[-0.57840884, 0.        ]; False; -134.0; 134; None; None; 1; 0.0444035530090332; None; 1768443546.0659719; None
[-0.5300022, 0.       ]; True; -200.0; 200; None; None; 1; 0.07303261756896973; None; 1768443546.1103754; 239.7015824317932
[-0.490389, 0.      ]; False; -159.0; 159; 2586.9034052686225; None; 1; 0.052097320556640625; None; 1768443546.183408; None
[-0.5689479, 0.       ]; False; -144.0; 144; None; None; 3; 0.04659295082092285; None; 1768443546.2365053; None
[-0.55073434, 0.        ]; False; -194.0; 194; 2509.1288114718045; None; 1; 0.06461119651794434; None; 1768443546.2841003; None
[-0.5409908, 0.       ]; True; -200.0; 200; None; None; 2; 0.08688020706176758; None; 1768443546.3507159; 239.9419229030609
[-0.47222435, 0.        ]; False; -101.0; 101; None; None; 2; 0.03836369514465332; None; 1768443546.4396007; None
[-0.51429176, 0.        ]; True; -200.0; 200; None; None; 3; 0.09097957611083984; None; 1768443546.479969; 240.0711760520935
[-0.5645279, 0.       ]; False; -153.0; 153; None; None; 2; 0.06896519660949707; None; 1768443546.5709486; None
[-0.53475255, 0.        ]; True; -200.0; 200; None; None; 1; 0.07787489891052246; None; 1768443546.644618; 240.2358250617981
[-0.50927657, 0.        ]; True; -200.0; 200; None; None; 1; 0.06766343116760254; None; 1768443546.7246091; 240.31581616401672
[-0.53863204, 0.        ]; True; -200.0; 200; None; None; 2; 0.07155489921569824; None; 1768443546.7950099; 240.386216878891
[-0.563916, 0.      ]; False; -156.0; 156; 3719.178896031922; None; 2; 0.05466485023498535; None; 1768443546.8701274; None
[-0.5598876, 0.       ]; False; -198.0; 198; 3326.1508977603903; None; 1; 0.07227683067321777; None; 1768443546.9265256; None
[-0.501803, 0.      ]; True; -200.0; 200; None; None; 2; 0.07250452041625977; None; 1768443547.0043666; 240.59557366371155
[-0.5325453, 0.       ]; True; -200.0; 200; None; None; 1; 0.07146477699279785; None; 1768443547.0788705; 240.67007756233215
[-0.5917737, 0.       ]; False; -107.0; 107; None; None; 2; 0.03803586959838867; None; 1768443547.1523407; None
[-0.55898386, 0.        ]; False; -197.0; 197; 363.6574665472096; None; 2; 0.072235107421875; None; 1768443547.190883; None
[-0.47436997, 0.        ]; False; -103.0; 103; None; None; 2; 0.03698229789733887; None; 1768443547.264977; None
[-0.51752526, 0.        ]; True; -200.0; 200; None; None; 2; 0.06906867027282715; None; 1768443547.3029602; 240.8941671848297
[-0.5445492, 0.       ]; True; -200.0; 200; None; None; 2; 0.06470942497253418; None; 1768443547.3750346; 240.96624159812927
[-0.47658962, 0.        ]; False; -105.0; 105; 396.626959232047; None; 1; 0.03989386558532715; None; 1768443547.4439182; None
[-0.5137844, 0.       ]; True; -200.0; 200; None; None; 2; 0.06836509704589844; None; 1768443547.4858167; 241.07702374458313
[-0.5875353, 0.       ]; False; -108.0; 108; None; None; 1; 0.038928985595703125; None; 1768443547.5582218; None
[-0.42025852, 0.        ]; False; -85.0; 85; None; None; 3; 0.028811931610107422; None; 1768443547.5971508; None
[-0.59996873, 0.        ]; False; -107.0; 107; None; None; 2; 0.03295159339904785; None; 1768443547.6280324; None
[-0.49743858, 0.        ]; False; -158.0; 158; None; None; 2; 0.05339765548706055; None; 1768443547.6639886; None
[-0.51816624, 0.        ]; True; -200.0; 200; None; None; 3; 0.06302332878112793; None; 1768443547.7173862; 241.30859327316284
[-0.5294718, 0.       ]; True; -200.0; 200; None; None; 2; 0.06549239158630371; None; 1768443547.7804096; 241.37161660194397
[-0.47910786, 0.        ]; False; -109.0; 109; None; None; 2; 0.035428524017333984; None; 1768443547.8499181; None
[-0.5784287, 0.       ]; False; -134.0; 134; 4990.426785013147; None; 1; 0.04841184616088867; None; 1768443547.887662; None
[-0.53848404, 0.        ]; True; -200.0; 200; None; None; 1; 0.0642099380493164; None; 1768443547.9360738; 241.52728080749512
[-0.542503, 0.      ]; True; -200.0; 200; None; None; 1; 0.07288432121276855; None; 1768443548.0063243; 241.59753131866455
[-0.5513691, 0.       ]; False; -194.0; 194; 2232.039673425197; None; 1; 0.06033587455749512; None; 1768443548.0808077; None
[-0.51454765, 0.        ]; True; -200.0; 200; None; None; 2; 0.06458234786987305; None; 1768443548.1432269; 241.73443388938904
[-0.5954023, 0.       ]; False; -107.0; 107; None; None; 1; 0.036119699478149414; None; 1768443548.2128987; None
[-0.5413518, 0.       ]; True; -200.0; 200; None; None; 1; 0.06772732734680176; None; 1768443548.250054; 241.84126091003418
[-0.512823, 0.      ]; True; -200.0; 200; None; None; 1; 0.061013221740722656; None; 1768443548.3177812; 241.90898823738098
[-0.5538901, 0.       ]; False; -194.0; 194; 2601.6628247479193; None; 1; 0.06783509254455566; None; 1768443548.3828895; None
[-0.5729579, 0.       ]; False; -137.0; 137; None; None; 3; 0.0427851676940918; None; 1768443548.4507246; None
[-0.52942896, 0.        ]; True; -200.0; 200; None; None; 2; 0.06977033615112305; None; 1768443548.497605; 242.08881211280823
[-0.5691789, 0.       ]; False; -143.0; 143; None; None; 3; 0.04359316825866699; None; 1768443548.5701747; None
[-0.5702996, 0.       ]; False; -142.0; 142; None; None; 2; 0.05347490310668945; None; 1768443548.6147993; None
[-0.4866463, 0.       ]; False; -162.0; 162; None; None; 3; 0.05524110794067383; None; 1768443548.674813; None
[-0.47334215, 0.        ]; False; -102.0; 102; None; None; 1; 0.03668045997619629; None; 1768443548.731822; None
[-0.44165203, 0.        ]; False; -89.0; 89; None; None; 1; 0.028461694717407227; None; 1768443548.772595; None
[-0.4714207, 0.       ]; False; -100.0; 100; 588.1755003067574; None; 2; 0.0294497013092041; None; 1768443548.8014011; None
[-0.5516439, 0.       ]; False; -194.0; 194; 370.04053476421774; None; 3; 0.06519150733947754; None; 1768443548.8348927; None
[-0.51099724, 0.        ]; True; -200.0; 200; None; None; 1; 0.06814718246459961; None; 1768443548.9000843; 242.49129128456116
[-0.5515388, 0.       ]; False; -194.0; 194; 1158.3098185847805; None; 1; 0.060968875885009766; None; 1768443548.9682314; None
[-0.56895036, 0.        ]; False; -144.0; 144; None; None; 3; 0.053327083587646484; None; 1768443549.0340166; None
[-0.4575227, 0.       ]; False; -93.0; 93; None; None; 1; 0.027749061584472656; None; 1768443549.0893493; None
[-0.55221367, 0.        ]; False; -194.0; 194; 2537.14420401895; None; 2; 0.06594252586364746; None; 1768443549.1222064; None
[-0.5664922, 0.       ]; False; -145.0; 145; 943.3689246938067; None; 2; 0.049491167068481445; None; 1768443549.1893775; None
[-0.46136323, 0.        ]; False; -95.0; 95; None; None; 2; 0.034110069274902344; None; 1768443549.240867; None
[-0.5237753, 0.       ]; True; -200.0; 200; None; None; 3; 0.06481218338012695; None; 1768443549.274977; 242.86618399620056
[-0.55644566, 0.        ]; False; -195.0; 195; 546.8627011757036; None; 2; 0.06722211837768555; None; 1768443549.3397892; None
[-0.5194169, 0.       ]; True; -200.0; 200; None; None; 1; 0.06530404090881348; None; 1768443549.4070113; 242.99821829795837
[-0.5769977, 0.       ]; False; -135.0; 135; None; None; 1; 0.0500333309173584; None; 1768443549.4773493; None
[-0.42482305, 0.        ]; False; -86.0; 86; None; None; 1; 0.028361082077026367; None; 1768443549.529368; None
[-0.54025936, 0.        ]; True; -200.0; 200; None; None; 3; 0.06291699409484863; None; 1768443549.557729; 243.1489360332489
[-0.5869377, 0.       ]; False; -108.0; 108; None; None; 2; 0.038881778717041016; None; 1768443549.6247668; None
[-0.4706985, 0.       ]; False; -100.0; 100; 244.5906842703533; None; 1; 0.033292531967163086; None; 1768443549.6636486; None
[-0.5045791, 0.       ]; True; -200.0; 200; None; None; 3; 0.06828856468200684; None; 1768443549.701974; 243.2931809425354
[-0.5979816, 0.       ]; False; -107.0; 107; None; None; 2; 0.042899131774902344; None; 1768443549.7732918; None
[-0.56160104, 0.        ]; True; -200.0; 200; None; None; 1; 0.06812572479248047; None; 1768443549.8171916; 243.40839862823486
[-0.4494817, 0.       ]; False; -91.0; 91; None; None; 2; 0.05021166801452637; None; 1768443549.888321; None
[-0.5686262, 0.       ]; False; -144.0; 144; None; None; 3; 0.07055473327636719; None; 1768443549.9394217; None
[-0.5631013, 0.       ]; True; -200.0; 200; None; None; 3; 0.09113740921020508; None; 1768443550.012444; 243.60365104675293
[-0.44120288, 0.        ]; False; -89.0; 89; 176.1907754914509; None; 1; 0.03518319129943848; None; 1768443550.1035814; None
[-0.5782415, 0.       ]; False; -134.0; 134; None; None; 1; 0.05965304374694824; None; 1768443550.1415086; None
[-0.54564476, 0.        ]; True; -200.0; 200; None; None; 2; 0.08404183387756348; None; 1768443550.2047782; 243.7959852218628
[-0.5798866, 0.       ]; False; -132.0; 132; None; None; 2; 0.0548093318939209; None; 1768443550.289824; None
[-0.5819386, 0.       ]; False; -110.0; 110; 196.7271121186656; None; 1; 0.04237651824951172; None; 1768443550.3491857; None
[-0.5364925, 0.       ]; True; -200.0; 200; None; None; 2; 0.08236813545227051; None; 1768443550.3940012; 243.98520827293396
[-0.5253579, 0.       ]; True; -200.0; 200; None; None; 3; 0.07826900482177734; None; 1768443550.4773688; 244.06857585906982
[-0.5145565, 0.       ]; True; -200.0; 200; None; None; 3; 0.0955495834350586; None; 1768443550.557271; 244.14847803115845
[-0.5080966, 0.       ]; True; -200.0; 200; None; None; 1; 0.07846927642822266; None; 1768443550.6538265; 244.24503350257874
[-0.5002636, 0.       ]; True; -200.0; 200; None; None; 2; 0.0831918716430664; None; 1768443550.7343025; 244.32550954818726
[-0.5376024, 0.       ]; True; -200.0; 200; None; None; 1; 0.07146883010864258; None; 1768443550.8224356; 244.4136426448822
[-0.55273324, 0.        ]; False; -194.0; 194; None; None; 3; 0.07177305221557617; None; 1768443550.8970163; None
[-0.49552023, 0.        ]; False; -157.0; 157; None; None; 1; 0.059561729431152344; None; 1768443550.9715261; None
[-0.55784833, 0.        ]; False; -196.0; 196; 496.61711511707074; None; 2; 0.0727074146270752; None; 1768443551.0337665; None
[-0.4577244, 0.       ]; False; -93.0; 93; 234.2074433928023; None; 1; 0.03516721725463867; None; 1768443551.1074753; None
[-0.5675927, 0.       ]; False; -143.0; 143; None; None; 2; 0.05630302429199219; None; 1768443551.145056; None
[-0.51764655, 0.        ]; True; -200.0; 200; None; None; 4; 0.07416391372680664; None; 1768443551.2033763; 244.79458332061768
[-0.5753329, 0.       ]; False; -135.0; 135; 1508.5631781937527; None; 1; 0.05401158332824707; None; 1768443551.2775402; None
